"scene_id","title","release_year","scene_location","scene_location","production_co","director","filming_type","zip_code","start_date","end_date"
"844053","Experiment in Terror","1962","The Sea Captain's Chest (Fisherman's Wharf)","the sea captain's chest (fisherman's wharf)","Columbia Pictures Corporation","Blake Edwards","Feature Film","94518","10/12/1962","10/15/1962"
"420649","Experiment in Terror","1962","Sheraton Palace Hotel (2 Montgomery Street, Financial District)","sheraton palace hotel (2 montgomery street financial district)","Columbia Pictures Corporation","Blake Edwards","Feature Film","94105","7/7/1962","7/10/1962"
"111248","Experiment in Terror","1962","Roaring Twenties Nightclub (555 Broadway at Columbus)","roaring twenties nightclub (555 broadway at columbus)","Columbia Pictures Corporation","Blake Edwards","Feature Film","94109","9/2/1962","9/5/1962"
"425154","Experiment in Terror","1962","Candlestick Park","candlestick park","Columbia Pictures Corporation","Blake Edwards","Feature Film","94108","1/20/1962","1/23/1962"
"833049","Experiment in Terror","1962","2632 Larkin Street at Lombard","2632 larkin street at lombard","Columbia Pictures Corporation","Blake Edwards","Feature Film","94109","3/9/1962","3/12/1962"
"116100","Experiment in Terror","1962","100 St. Germain Avenue","100 st germain avenue","Columbia Pictures Corporation","Blake Edwards","Feature Film","94114","9/10/1962","9/13/1962"
"241493","Experiment in Terror","1962","1 Montgomery Street at Post","1 montgomery street at post","Columbia Pictures Corporation","Blake Edwards","Feature Film","94104","8/15/1962","8/18/1962"
"690974","The Birds","1963","Powell and Geary Streets (Union Square)","powell and geary streets (union square)","Universal Pictures","Alfred Hitchcock","Feature Film","94102","8/11/1963","8/14/1963"
"812371","Good NeighborSam","1964","Various locations in San Francisco during driving scene","various locations in san francisco during driving scene","Columbia Pictures Corporation","David Swift","Feature Film","94117","1/3/1964","1/6/1964"
"717439","Marnie","1964","On Board the SS President Cleveland, docked at Pier 50","on board the ss president cleveland docked at pier 50","Universal Pictures","Alfred Hitchcock","Feature Film","94102","6/20/1964","6/23/1964"
"136794","Guess Who's Coming to Dinner","1967","Sutter Street between Powell and Mason","sutter street between powell and mason","Columbia Pictures Corporation","Stanley Kramer","Feature Film","94133","12/5/1967","12/8/1967"
"769213","Guess Who's Coming to Dinner","1967","San Francisco International Airport","san francisco international airport","Columbia Pictures Corporation","Stanley Kramer","Feature Film","94128","3/12/1967","3/15/1967"
"328195","Guess Who's Coming to Dinner","1967","Mel's Drive-In (Corner South Van Ness & Mission St.)","mel's drive-in (corner south van ness & mission st)","Columbia Pictures Corporation","Stanley Kramer","Feature Film","94103","10/12/1967","10/15/1967"
"306410","Guess Who's Coming to Dinner","1967","634 Raycliff Terrace","634 raycliff terrace","Columbia Pictures Corporation","Stanley Kramer","Feature Film","94115","2/23/1967","2/26/1967"
"161640","Point Blank","1967","Fort Point (Presidio, Golden Gate National Recreation Area)","fort point (presidio golden gate national recreation area)","Metro-Goldwyn Mayer","John Boorman","Feature Film","94129","4/2/1967","4/5/1967"
"112349","Point Blank","1967","Alcatraz Island","alcatraz island","Metro-Goldwyn Mayer","John Boorman","Feature Film","94133","1/9/1967","1/12/1967"
"921214","The Graduate","1967","San Francisco Zoo (2701 Sloat Blvd.)","san francisco zoo (2701 sloat blvd)","Embassy Pictures Corporation","Mike Nichols","Feature Film","94132","2/11/1967","2/14/1967"
"926995","The Graduate","1967","Bay Bridge","bay bridge","Embassy Pictures Corporation","Mike Nichols","Feature Film","94612","1/1/1967","1/4/1967"
"108080","Bullitt","1968","Bayshore Blvd near Cesar Chavez (Bayview)","bayshore blvd near cesar chavez (bayview)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","33606","11/15/1968","11/18/1968"
"161979","Bullitt","1968","Taylor & Vallejo Streets (Russian Hill)","taylor & vallejo streets (russian hill)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94133","2/12/1968","2/15/1968"
"174398","Bullitt","1968","SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)","sf general hospital center (1001 potrero avenue potrero hill)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94110","1/3/1968","1/6/1968"
"572190","Bullitt","1968","McLaren Park (Visitacion  Valley)","mclaren park (visitacion valley)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94134","6/18/1968","6/21/1968"
"413612","Bullitt","1968","Mark Hopkins Hotel (999 California Street)","mark hopkins hotel (999 california street)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94108","5/5/1968","5/8/1968"
"829792","Bullitt","1968","Marina Green (Marina District)","marina green (marina district)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94123","8/10/1968","8/13/1968"
"974034","Bullitt","1968","Mansell & University Streets (Visitacion  Valley)","mansell & university streets (visitacion valley)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94134","10/4/1968","10/7/1968"
"847358","Bullitt","1968","Larkin & Francisco Streets (Russian Hill)","larkin & francisco streets (russian hill)","Warner Brothers / Seven Arts
Seven Arts","Peter Yates","Feature Film","94109","2/4/1968","2/7/1968"
